"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","wdsp","NUM_CRIMES"
"257",0,0,0,0,0,0,0,0,0,0,0,1,2011,8.8,0.543589743589744
"258",0,0,0,0,0,0,0,0,0,0,0,1,2011,7,0.557264957264957
"259",0,0,0,0,0,0,0,0,0,0,0,1,2011,9,0.494017094017094
"260",0,0,0,0,0,0,0,0,0,0,0,1,2011,7.5,0.504273504273504
"261",0,0,0,0,0,0,0,0,0,0,0,1,2011,7.2,0.687179487179487
"262",0,0,0,0,0,0,0,0,0,0,0,1,2011,8.8,0.555555555555556
"263",0,0,0,0,0,0,0,0,0,0,0,1,2011,7.4,0.452991452991453
"264",0,0,0,0,0,0,0,0,0,0,0,1,2011,13.3,0.494017094017094
"265",0,0,0,0,0,0,0,0,0,0,0,1,2011,7,0.570940170940171
"266",0,0,0,0,0,0,0,0,0,0,0,1,2011,8.9,0.723076923076923
"267",0,0,0,0,0,0,0,0,0,0,0,1,2011,11.9,0.57948717948718
"268",0,0,0,0,0,0,0,0,0,0,0,1,2011,14,0.482051282051282
"269",0,0,0,0,0,0,0,0,0,0,0,1,2011,16.1,0.630769230769231
"270",0,0,0,0,0,0,0,0,0,0,0,1,2011,12.6,0.48034188034188
"271",0,0,0,0,0,0,0,0,0,0,1,0,2011,2.7,0.535042735042735
"272",0,0,0,0,0,0,0,0,0,0,1,0,2011,4.5,0.468376068376068
"273",0,0,0,0,0,0,0,0,0,0,1,0,2011,1.5,0.541880341880342
"274",0,0,0,0,0,0,0,0,0,0,1,0,2011,5.3,0.61025641025641
"275",0,0,0,0,0,0,0,0,0,0,1,0,2011,5.3,0.705982905982906
"276",0,0,0,0,0,0,0,0,0,0,1,0,2011,3.1,0.543589743589744
"277",0,0,0,0,0,0,0,0,0,0,1,0,2011,4.1,0.61025641025641
"278",0,0,0,0,0,0,0,0,0,0,1,0,2011,3.9,0.637606837606838
"279",0,0,0,0,0,0,0,0,0,0,1,0,2011,3.5,0.598290598290598
"280",0,0,0,0,0,0,0,0,0,0,1,0,2011,4.2,0.671794871794872
"281",0,0,0,0,0,0,0,0,0,0,1,0,2011,3.9,0.490598290598291
"282",0,0,0,0,0,0,0,0,0,0,1,0,2011,3.5,0.664957264957265
"283",0,0,0,0,0,0,0,0,0,0,1,0,2011,5.5,0.415384615384615
"284",0,0,0,0,0,0,0,0,0,0,1,0,2011,5.7,0.687179487179487
"285",0,0,0,0,0,0,0,0,0,0,1,0,2011,5.3,0.299145299145299
"286",0,0,0,0,0,0,0,0,0,0,1,0,2011,6.3,0.618803418803419
"287",0,0,0,0,0,0,0,0,0,0,1,0,2011,6.8,0.41025641025641
"288",0,0,0,0,0,0,0,0,0,0,1,0,2011,5,0.454700854700855
"289",0,0,0,0,0,0,0,0,0,0,1,0,2011,5.4,0.654700854700855
"290",0,0,0,0,0,0,0,0,0,0,1,0,2011,5.4,0.504273504273504
"291",0,0,0,0,0,0,0,0,0,0,1,0,2011,8.2,0.517948717948718
"292",0,0,0,0,0,0,0,0,0,0,1,0,2011,8.7,0.697435897435897
"293",0,0,0,0,0,0,0,0,0,0,1,0,2011,11.2,0.717948717948718
"294",0,0,0,0,0,0,0,0,0,0,1,0,2011,10.2,0.452991452991453
"295",0,0,0,0,0,0,0,0,0,0,1,0,2011,11.3,0.553846153846154
"296",0,0,0,0,0,0,0,0,0,0,1,0,2011,12.1,0.630769230769231
"297",0,0,0,0,0,0,0,0,0,0,1,0,2011,14.9,0.386324786324786
"298",0,0,0,0,0,0,0,0,0,0,1,0,2011,8.1,0.514529914529914
"299",0,0,0,0,0,0,0,0,0,0,1,0,2011,14.4,0.528205128205128
"300",0,0,0,0,0,0,0,0,0,0,1,0,2011,7.7,0.634188034188034
"301",0,0,0,0,0,0,0,0,0,0,1,0,2011,17.1,0.401709401709402
"302",0,0,0,0,0,0,0,0,0,1,0,0,2011,6.5,0.941880341880342
"303",0,0,0,0,0,0,0,0,0,1,0,0,2011,5.6,0.55042735042735
"304",0,0,0,0,0,0,0,0,0,1,0,0,2011,7,0.430769230769231
"305",0,0,0,0,0,0,0,0,0,1,0,0,2011,9.1,0.548717948717949
"306",0,0,0,0,0,0,0,0,0,1,0,0,2011,4.2,0.370940170940171
"307",0,0,0,0,0,0,0,0,0,1,0,0,2011,9.6,0.476923076923077
"308",0,0,0,0,0,0,0,0,0,1,0,0,2011,6.5,0.694017094017094
"309",0,0,0,0,0,0,0,0,0,1,0,0,2011,7.4,0.524786324786325
"310",0,0,0,0,0,0,0,0,0,1,0,0,2011,10.2,0.418803418803419
"311",0,0,0,0,0,0,0,0,0,1,0,0,2011,5,0.52991452991453
"312",0,0,0,0,0,0,0,0,0,1,0,0,2011,9.3,0.0991452991452991
"313",0,0,0,0,0,0,0,0,0,1,0,0,2011,8.6,0.58974358974359
"314",0,0,0,0,0,0,0,0,0,1,0,0,2011,11,0.384615384615385
"315",0,0,0,0,0,0,0,0,0,1,0,0,2011,9.9,0.394871794871795
"316",0,0,0,0,0,0,0,0,0,1,0,0,2011,10.9,0.341880341880342
"317",0,0,0,0,0,0,0,0,0,1,0,0,2011,12.1,0.48034188034188
"318",0,0,0,0,0,0,0,0,0,1,0,0,2011,9.6,0.601709401709402
"319",0,0,0,0,0,0,0,0,0,1,0,0,2011,7.7,0.372649572649573
"320",0,0,0,0,0,0,0,0,0,1,0,0,2011,10.8,0.295726495726496
"321",0,0,0,0,0,0,0,0,0,1,0,0,2011,12.2,0.452991452991453
"322",0,0,0,0,0,0,0,0,0,1,0,0,2011,10.5,0.441025641025641
"323",0,0,0,0,0,0,0,0,0,1,0,0,2011,10.8,0.362393162393162
"324",0,0,0,0,0,0,0,0,0,1,0,0,2011,11.6,0.492307692307692
"325",0,0,0,0,0,0,0,0,0,1,0,0,2011,13.8,0.441025641025641
"326",0,0,0,0,0,0,0,0,0,1,0,0,2011,16.1,0.48034188034188
"327",0,0,0,0,0,0,0,0,0,1,0,0,2011,11.7,0.473504273504273
"328",0,0,0,0,0,0,0,0,0,1,0,0,2011,9.1,0.411965811965812
