"","wdsp","NUM_CRIMES"
"788",8.2,0.425496688741722
"808",7.8,0.743377483443709
"813",8.3,0.627483443708609
"817",8.7,0.541390728476821
"820",8.7,0.304635761589404
"856",7.9,0.51158940397351
"888",12.3,0.55794701986755
"918",9,0.43046357615894
"931",13.3,0.408940397350993
"932",12,0.614238410596026
"945",13.6,0.347682119205298
"954",12.6,0.480132450331126
"956",10.8,0.447019867549669
"960",13.1,0.481788079470199
"966",15.1,0.498344370860927
"983",17,0.263245033112583
"987",12,0.698675496688742
"988",18.9,0.544701986754967
"989",15.1,0.524834437086093
"1044",5.1,0.410596026490066
"1050",5.6,0.586092715231788
"1056",4.8,0.455298013245033
"1059",7.3,0.495033112582781
"1092",3.5,0.5
"1098",6.3,0.625827814569536
"1100",8.3,0.562913907284768
"1104",10,0.342715231788079
"1109",9.3,0.566225165562914
"1113",9.5,0.466887417218543
"1149",7.7,0.435430463576159
"1150",6.4,0.559602649006622
"1152",6.4,0.548013245033113
"1156",7.9,0.53476821192053
"1173",9,0.427152317880795
"1181",12.2,0.369205298013245
"1191",9.1,0.526490066225166
"1202",10.4,0.301324503311258
"1207",11,0.503311258278146
"1220",10.7,0.519867549668874
"1226",11.1,0.329470198675497
"1243",14,0.43046357615894
"1244",12.8,0.425496688741722
"1250",11.5,0.336092715231788
"1255",11.9,0.589403973509934
"1256",9.9,0.422185430463576
"1257",14.1,0.403973509933775
"1282",9.8,0.490066225165563
"1306",11.4,0.491721854304636
"1320",19,0.513245033112583
"1398",4.9,0.582781456953642
"1407",4.9,0.746688741721854
"1413",5,0.551324503311258
"1416",7.2,0.591059602649007
"1421",7.1,0.544701986754967
"1422",5.2,0.735099337748344
"1432",6.8,0.369205298013245
"1434",7.5,0.544701986754967
"1436",7.2,0.513245033112583
"1438",7.7,0.589403973509934
"1439",5.5,0.48841059602649
"1443",3.3,0.634105960264901
"1454",6.8,0.624172185430464
"1466",9,0.506622516556291
"1467",8.9,0.678807947019868
"1479",8.4,0.602649006622517
"1495",10.7,0.764900662251656
"1502",9.3,0.514900662251656
"1505",5.8,0.66887417218543
"1511",7.9,0.327814569536424
"1524",9.2,0.695364238410596
"1543",10.2,0.480132450331126
"1550",11.2,0.344370860927152
"1575",10.4,0.596026490066225
"1578",8.7,0.622516556291391
"1596",12.5,0.539735099337748
"1599",10,0.554635761589404
"1609",12.3,0.677152317880795
"1614",11,0.783112582781457
"1618",11.4,0.438741721854305
"1637",11.7,0.665562913907285
"1716",7.2,0.764900662251656
"1719",5,0.826158940397351
"1729",5.7,0.816225165562914
"1734",6,0.667218543046358
"1742",7.1,0.753311258278146
"1746",5.1,0.612582781456954
"1747",7.4,0.592715231788079
"1749",4.3,0.839403973509934
"1782",5.4,0.754966887417219
"1802",6.7,0.556291390728477
"1822",10.4,0.774834437086093
"1826",8.6,0.640728476821192
"1835",7.8,0.594370860927152
"1838",9,0.544701986754967
"1840",8.3,0.612582781456954
"1862",6.5,0.645695364238411
"1888",8.9,0.710264900662252
"1894",9.8,0.73841059602649
"1896",10.5,1
"1909",5.7,0.701986754966887
"1913",9.2,0.705298013245033
"1924",9.4,0.720198675496689
"1935",13.1,0.789735099337748
"1939",12.8,0.634105960264901
"1944",9.6,0.53476821192053
"1945",10.7,0.526490066225166
"1948",14.5,0.56953642384106
"1950",9.6,0.730132450331126
"1964",8.3,0.538079470198676
"1989",13.2,0.740066225165563
"2034",3.8,0.735099337748344
"2035",5.2,0.602649006622517
"2073",6.1,0.672185430463576
"2089",6.5,0.834437086092715
"2101",5,0.655629139072848
"2102",4.7,0.720198675496689
"2114",6.4,0.625827814569536
"2149",5.9,0.589403973509934
"2157",3.7,0.716887417218543
"2172",7.9,0.701986754966887
"2177",9.2,0.72682119205298
"2179",8.9,0.700331125827815
"2185",7.7,0.731788079470199
"2192",8.7,0.634105960264901
"2194",8,0.677152317880795
"2195",8.2,0.693708609271523
"2198",5.9,0.735099337748344
"2200",6.8,0.607615894039735
"2207",9.3,0.716887417218543
"2226",6.3,0.644039735099338
"2236",10.8,0.746688741721854
"2238",6.2,0.766556291390728
"2244",9.4,0.607615894039735
"2266",12.9,0.781456953642384
"2268",6.3,0.693708609271523
"2286",9,0.587748344370861
"2314",9.9,0.647350993377483
"2321",8.2,0.516556291390728
"2331",5.1,0.943708609271523
"2332",8.6,0.496688741721854
"2334",7.3,0.572847682119205
"2371",2.5,0.408940397350993
"2378",3.7,0.496688741721854
"2382",3.7,0.536423841059603
"2384",6.1,0.567880794701987
"2392",3.2,0.562913907284768
"2411",3.8,0.528145695364238
"2418",2.9,0.450331125827815
"2425",4.1,0.806291390728477
"2430",4.3,0.445364238410596
"2431",6.1,0.678807947019868
"2432",4.5,0.552980132450331
"2443",4.5,0.564569536423841
"2460",5.9,0.658940397350993
"2465",6.7,0.68046357615894
"2481",4.9,0.728476821192053
"2482",6.9,0.584437086092715
"2497",4.4,0.549668874172185
"2512",8.7,0.617549668874172
"2513",7.9,0.509933774834437
"2547",8.3,0.52317880794702
"2548",4.4,0.604304635761589
"2550",8,0.564569536423841
"2561",4.7,0.731788079470199
"2562",7.7,0.521523178807947
"2567",9,0.652317880794702
"2571",7.3,0.76158940397351
"2591",6.6,0.470198675496689
