"","mo","wdsp","sndp","fog","NUM_CRIMES"
"2585",8,6.8,999.9,0,0.630769230769231
"2593",8,6.4,999.9,0,0.678632478632479
"2596",8,6.8,999.9,0,0.576068376068376
"2605",8,4.9,999.9,0,0.471794871794872
"2614",8,4.2,999.9,0,0.735042735042735
"2634",8,9.2,999.9,0,0.647863247863248
"2640",8,9.8,999.9,0,0.588034188034188
"2653",8,11,999.9,0,0.545299145299145
"2661",8,8.6,999.9,0,0.808547008547009
"2667",8,7.2,999.9,0,0.658119658119658
"2708",9,4.3,999.9,0,0.505982905982906
"2722",9,3.2,999.9,1,0.75042735042735
"2724",9,2.7,999.9,0,0.702564102564103
"2727",9,4.4,999.9,1,0.538461538461538
"2728",9,5.5,999.9,0,0.617094017094017
"2742",9,4.4,999.9,0,0.909401709401709
"2745",9,5,999.9,0,0.564102564102564
"2751",9,6.5,999.9,0,0.485470085470085
"2775",9,8.3,999.9,0,0.642735042735043
"2776",9,6.7,999.9,0,0.574358974358974
"2792",9,5.2,999.9,0,0.439316239316239
"2794",9,3.1,999.9,0,0.533333333333333
"2797",9,3.8,999.9,0,0.588034188034188
"2811",9,7.1,999.9,0,0.815384615384615
"2820",9,9.3,999.9,0,0.52991452991453
"2833",9,7,999.9,0,0.747008547008547
"2861",9,8.8,999.9,0,0.543589743589744
"2872",9,7,999.9,0,0.557264957264957
"2892",9,9,999.9,0,0.494017094017094
"2895",9,7.5,999.9,0,0.504273504273504
"2903",9,7.2,999.9,0,0.687179487179487
"2919",9,8.8,999.9,0,0.555555555555556
"2920",9,7.4,999.9,0,0.452991452991453
"2929",9,13.3,999.9,0,0.494017094017094
"2938",9,7,999.9,0,0.570940170940171
"2949",9,8.9,999.9,0,0.723076923076923
"2980",9,11.9,999.9,0,0.57948717948718
"2990",9,14,999.9,0,0.482051282051282
"2995",9,16.1,999.9,0,0.630769230769231
"2999",9,12.6,999.9,0,0.48034188034188
"3044",10,2.7,999.9,0,0.535042735042735
"3045",10,4.5,999.9,0,0.468376068376068
"3050",10,1.5,999.9,0,0.541880341880342
"3054",10,5.3,999.9,0,0.61025641025641
