"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","year","temp","dewp","wdsp","visib","sndp","fog","NUM_CRIMES"
"161",0,0,0,0,0,0,1,0,0,0,0,0,2011,66,46.2,6.6,10,999.9,0,0.765811965811966
"162",0,0,0,0,0,0,1,0,0,0,0,0,2011,63.8,55.7,8.8,9.7,999.9,0,0.642735042735043
"163",0,0,0,0,0,0,1,0,0,0,0,0,2011,80.2,69.6,10.1,9.9,999.9,0,0.707692307692308
"164",0,0,0,0,0,0,1,0,0,0,0,0,2011,74.9,57.7,7,10,999.9,0,0.714529914529915
"165",0,0,0,0,0,0,1,0,0,0,0,0,2011,57.2,48.3,7.4,8.5,999.9,0,0.603418803418803
"166",0,0,0,0,0,0,1,0,0,0,0,0,2011,74.1,67,6.8,9,999.9,0,0.776068376068376
"167",0,0,0,0,0,0,1,0,0,0,0,0,2011,68.9,61,8.2,7.6,999.9,0,0.642735042735043
"168",0,0,0,0,0,0,1,0,0,0,0,0,2011,86.4,66.9,8.8,9.8,999.9,0,0.758974358974359
"169",0,0,0,0,0,0,1,0,0,0,0,0,2011,65.6,46.8,8.2,10,999.9,0,0.897435897435897
"170",0,0,0,0,0,0,1,0,0,0,0,0,2011,70.9,56.2,7.7,10,999.9,0,0.786324786324786
"171",0,0,0,0,0,0,1,0,0,0,0,0,2011,86.7,62.8,9.5,9.9,999.9,0,0.733333333333333
"172",0,0,0,0,0,0,1,0,0,0,0,0,2011,66.7,55.8,10.3,8.2,999.9,0,0.776068376068376
"173",0,0,0,0,0,0,1,0,0,0,0,0,2011,67,59.9,11.5,8.9,999.9,0,0.671794871794872
"174",0,0,0,0,0,0,1,0,0,0,0,0,2011,72.4,62.5,7.3,9.4,999.9,0,0.593162393162393
"175",0,0,0,0,0,0,1,0,0,0,0,0,2011,73.4,51.2,11,10,999.9,0,0.969230769230769
"176",0,0,0,0,0,0,1,0,0,0,0,0,2011,71.6,64,11.8,9.7,999.9,0,0.65982905982906
"177",0,0,0,0,0,0,1,0,0,0,0,0,2011,65.6,57.5,10.8,7.7,999.9,1,0.528205128205128
"178",0,0,0,0,0,0,1,0,0,0,0,0,2011,80.9,66.3,9.3,9.5,999.9,1,0.765811965811966
"179",0,0,0,0,0,1,0,0,0,0,0,0,2011,80,63.9,2.8,10,999.9,0,0.723076923076923
"180",0,0,0,0,0,1,0,0,0,0,0,0,2011,80.5,57.2,4.1,9.3,999.9,0,0.842735042735043
"181",0,0,0,0,0,1,0,0,0,0,0,0,2011,82.2,68.6,4.2,9.8,999.9,0,0.676923076923077
"182",0,0,0,0,0,1,0,0,0,0,0,0,2011,79.7,54.3,4.4,9.9,999.9,0,0.717948717948718
"183",0,0,0,0,0,1,0,0,0,0,0,0,2011,82.6,70.7,7.6,9.1,999.9,0,0.817094017094017
"184",0,0,0,0,0,1,0,0,0,0,0,0,2011,80,60.4,3.1,10,999.9,0,0.769230769230769
"185",0,0,0,0,0,1,0,0,0,0,0,0,2011,83.2,66.9,7,9.2,999.9,0,0.72991452991453
"186",0,0,0,0,0,1,0,0,0,0,0,0,2011,74,53.2,6.7,9.9,999.9,0,0.717948717948718
"187",0,0,0,0,0,1,0,0,0,0,0,0,2011,75.6,55.6,6.2,9.9,999.9,0,0.642735042735043
"188",0,0,0,0,0,1,0,0,0,0,0,0,2011,77.3,59.2,6.1,10,999.9,0,0.916239316239316
"189",0,0,0,0,0,1,0,0,0,0,0,0,2011,80.2,67,5.7,10,999.9,0,0.745299145299145
"190",0,0,0,0,0,1,0,0,0,0,0,0,2011,77.4,61.2,5.2,9.8,999.9,0,0.564102564102564
"191",0,0,0,0,0,1,0,0,0,0,0,0,2011,86.2,74.5,7,9.2,999.9,0,0.711111111111111
"192",0,0,0,0,0,1,0,0,0,0,0,0,2011,77.7,51.8,4.1,10,999.9,0,0.646153846153846
"193",0,0,0,0,0,1,0,0,0,0,0,0,2011,84,65.5,5.2,10,999.9,0,0.664957264957265
"194",0,0,0,0,0,1,0,0,0,0,0,0,2011,71.8,56.6,7.8,10,999.9,0,0.712820512820513
"195",0,0,0,0,0,1,0,0,0,0,0,0,2011,78.3,63.8,6,10,999.9,0,0.65982905982906
"196",0,0,0,0,0,1,0,0,0,0,0,0,2011,78.4,69,5.2,10,999.9,1,0.699145299145299
"197",0,0,0,0,0,1,0,0,0,0,0,0,2011,90.8,73.2,9.6,10,999.9,0,0.611965811965812
"198",0,0,0,0,0,1,0,0,0,0,0,0,2011,77.6,62,8.5,10,999.9,0,0.753846153846154
"199",0,0,0,0,0,1,0,0,0,0,0,0,2011,79.7,70.6,5.1,8.8,999.9,0,0.705982905982906
"200",0,0,0,0,0,1,0,0,0,0,0,0,2011,71.7,57.3,10.8,10,999.9,0,0.794871794871795
"201",0,0,0,0,0,1,0,0,0,0,0,0,2011,81.1,63.3,6.1,10,999.9,0,0.741880341880342
"202",0,0,0,0,0,1,0,0,0,0,0,0,2011,86.5,73.1,9.9,8.7,999.9,0,0.68034188034188
"203",0,0,0,0,0,1,0,0,0,0,0,0,2011,79,69.7,4.8,9.6,999.9,1,0.594871794871795
"204",0,0,0,0,0,1,0,0,0,0,0,0,2011,87.2,72,7.6,9.3,999.9,0,0.625641025641026
"205",0,0,0,0,0,1,0,0,0,0,0,0,2011,80.5,72.3,7.7,9,999.9,0,0.747008547008547
"206",0,0,0,0,0,1,0,0,0,0,0,0,2011,78.9,70.6,5.4,9,999.9,0,0.658119658119658
"207",0,0,0,0,0,1,0,0,0,0,0,0,2011,83.4,68.3,7,9.7,999.9,0,0.811965811965812
"208",0,0,0,0,0,1,0,0,0,0,0,0,2011,75.7,61.9,11.1,10,999.9,0,0.818803418803419
"209",0,0,0,0,0,1,0,0,0,0,0,0,2011,81.8,69.6,7.4,9.4,999.9,0,0.747008547008547
"210",0,1,0,0,0,0,0,0,0,0,0,0,2011,73.6,55.1,2.1,10,999.9,0,0.512820512820513
"211",0,1,0,0,0,0,0,0,0,0,0,0,2011,71.6,57.4,3.8,10,999.9,0,0.629059829059829
"212",0,1,0,0,0,0,0,0,0,0,0,0,2011,83.4,71.1,5.5,9.2,999.9,0,1
"213",0,1,0,0,0,0,0,0,0,0,0,0,2011,70.1,56,4.4,10,999.9,0,0.651282051282051
"214",0,1,0,0,0,0,0,0,0,0,0,0,2011,71.3,52.9,3.6,10,999.9,0,0.683760683760684
"215",0,1,0,0,0,0,0,0,0,0,0,0,2011,71.2,54.3,5.1,10,999.9,0,0.67008547008547
