"","day","temp","NUM_CRIMES"
"1398",1,58.6,0.582781456953642
"1407",3,64.8,0.746688741721854
"1413",4,60.2,0.551324503311258
"1416",5,67.8,0.591059602649007
"1421",6,57.1,0.544701986754967
"1422",2,57.3,0.735099337748344
"1432",7,59.7,0.369205298013245
"1434",2,59.8,0.544701986754967
"1436",6,76.5,0.513245033112583
"1438",3,56.8,0.589403973509934
"1439",4,54.4,0.48841059602649
"1443",1,63.2,0.634105960264901
"1454",5,61.6,0.624172185430464
"1466",7,81.3,0.506622516556291
"1467",5,67.2,0.678807947019868
"1479",3,64.6,0.602649006622517
"1495",5,74.5,0.764900662251656
"1502",6,61.9,0.514900662251656
"1505",2,59.9,0.66887417218543
"1511",7,58.8,0.327814569536424
"1524",2,71,0.695364238410596
"1543",6,70.5,0.480132450331126
"1550",4,52.1,0.344370860927152
"1575",4,76.2,0.596026490066225
"1578",3,68,0.622516556291391
