day,year,mo,da,crime_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_CRIMES
7,2011,06,26,2011-06-26,63.0,9999.9,9999.9,999.9,5.3,11.1,999.9,65.7,60.4,0.0,999.9,0,1097
7,2011,06,26,2011-06-26,72.0,50.8,1013.6,10.0,5.8,13.0,15.0,80.1,64.0,0.0,999.9,0,1097
1,2011,06,27,2011-06-27,72.4,62.5,1009.8,9.4,7.3,17.1,22.9,80.1,66.9,0.0,999.9,0,1000
1,2011,06,27,2011-06-27,66.7,9999.9,9999.9,999.9,10.4,23.9,999.9,77.4,62.8,0.0,999.9,0,1000
2,2011,06,28,2011-06-28,73.4,55.5,1013.2,10.0,8.6,12.0,19.0,81.0,64.9,0.14,999.9,0,1079
2,2011,06,28,2011-06-28,70.7,9999.9,9999.9,999.9,11.7,18.1,999.9,79.2,64.2,0.0,999.9,0,1079
3,2011,06,29,2011-06-29,66.2,9999.9,9999.9,999.9,5.9,11.1,999.9,72.1,61.5,0.0,999.9,0,1107
3,2011,06,29,2011-06-29,72.9,54.6,1017.6,10.0,4.6,9.9,14.0,80.1,63.0,0.0,999.9,0,1107
4,2011,06,30,2011-06-30,68.1,9999.9,9999.9,999.9,9.4,22.9,999.9,75.7,63.1,0.0,999.9,0,1034
4,2011,06,30,2011-06-30,75.9,59.5,1015.9,10.0,6.3,12.0,19.0,89.1,66.0,0.0,999.9,0,1034
5,2011,07,01,2011-07-01,70.3,9999.9,9999.9,999.9,23.2,34.0,999.9,80.2,64.6,0.0,999.9,0,1132
5,2011,07,01,2011-07-01,75.7,61.9,1014.8,10.0,11.1,29.9,38.1,89.1,66.9,0.03,999.9,0,1132
6,2011,07,02,2011-07-02,78.6,9999.9,9999.9,999.9,14.1,22.0,999.9,87.8,69.3,0.0,999.9,0,1131
6,2011,07,02,2011-07-02,82.6,70.7,1013.4,9.1,7.6,9.9,18.1,93.0,75.0,0.01,999.9,0,1131
7,2011,07,03,2011-07-03,77.4,61.2,1014.8,9.8,5.2,11.1,17.1,86.0,70.0,0.0,999.9,0,983
7,2011,07,03,2011-07-03,68.6,9999.9,9999.9,999.9,8.0,14.0,999.9,74.3,63.0,0.0,999.9,0,983
1,2011,07,04,2011-07-04,77.7,51.8,1014.4,10.0,4.1,12.0,17.1,88.0,68.0,0.0,999.9,0,1031
1,2011,07,04,2011-07-04,69.6,9999.9,9999.9,999.9,3.6,7.0,999.9,78.4,65.3,0.0,999.9,0,1031
2,2011,07,05,2011-07-05,75.0,9999.9,9999.9,999.9,6.2,15.0,999.9,77.5,72.7,0.0,999.9,0,1146
2,2011,07,05,2011-07-05,80.5,57.2,1014.2,9.3,4.1,8.0,999.9,91.9,66.9,0.0,999.9,0,1146
3,2011,07,06,2011-07-06,74.5,9999.9,9999.9,999.9,7.5,15.0,999.9,82.6,68.0,0.0,999.9,0,1087
3,2011,07,06,2011-07-06,81.1,63.3,1013.7,10.0,6.1,15.0,17.1,88.0,73.9,0.0,999.9,0,1087
4,2011,07,07,2011-07-07,74.0,53.2,1014.5,9.9,6.7,11.1,999.9,81.0,66.0,0.0,999.9,0,1073
4,2011,07,07,2011-07-07,68.6,9999.9,9999.9,999.9,8.0,13.0,999.9,70.0,67.6,0.0,999.9,0,1073
5,2011,07,08,2011-07-08,75.6,55.6,1010.9,9.9,6.2,11.1,14.0,86.0,64.9,0.02,999.9,0,1029
5,2011,07,08,2011-07-08,68.1,9999.9,9999.9,999.9,7.6,14.0,999.9,72.0,66.6,0.0,999.9,0,1029
6,2011,07,09,2011-07-09,79.7,54.3,1012.4,9.9,4.4,8.9,15.0,90.0,66.9,0.0,999.9,0,1073
6,2011,07,09,2011-07-09,72.4,9999.9,9999.9,999.9,5.5,16.9,999.9,76.8,69.8,0.0,999.9,0,1073
7,2011,07,10,2011-07-10,79.0,9999.9,9999.9,999.9,13.1,16.9,999.9,83.1,75.2,0.0,999.9,0,1080
7,2011,07,10,2011-07-10,83.2,66.9,1012.0,9.2,7.0,9.9,19.0,91.0,75.0,0.0,999.9,0,1080
1,2011,07,11,2011-07-11,81.8,69.6,1009.1,9.4,7.4,44.1,65.1,90.0,70.0,0.0,999.9,0,1090
1,2011,07,11,2011-07-11,78.6,9999.9,9999.9,999.9,12.2,18.1,999.9,86.9,70.2,0.0,999.9,0,1090
2,2011,07,12,2011-07-12,80.2,67.0,1012.2,10.0,5.7,11.1,999.9,88.0,72.0,0.13,999.9,0,1089
2,2011,07,12,2011-07-12,76.3,9999.9,9999.9,999.9,11.2,20.0,999.9,85.1,70.0,0.0,999.9,0,1089
3,2011,07,13,2011-07-13,71.7,57.3,1016.6,10.0,10.8,15.0,20.0,78.1,68.0,0.01,999.9,0,1118
3,2011,07,13,2011-07-13,67.6,9999.9,9999.9,999.9,13.3,20.0,999.9,71.2,64.2,0.0,999.9,0,1118
4,2011,07,14,2011-07-14,67.7,9999.9,9999.9,999.9,11.7,18.1,999.9,69.8,64.2,0.0,999.9,0,1070
4,2011,07,14,2011-07-14,71.8,56.6,1016.8,10.0,7.8,12.0,17.1,82.0,64.9,0.0,999.9,0,1070
5,2011,07,15,2011-07-15,70.9,9999.9,9999.9,999.9,9.9,14.0,999.9,73.8,69.6,0.0,999.9,0,1189
5,2011,07,15,2011-07-15,77.3,59.2,1014.6,10.0,6.1,11.1,999.9,86.0,71.1,0.0,999.9,0,1189
6,2011,07,16,2011-07-16,80.0,60.4,1015.3,10.0,3.1,9.9,999.9,90.0,73.9,0.0,999.9,0,1103
6,2011,07,16,2011-07-16,73.5,9999.9,9999.9,999.9,6.7,13.0,999.9,78.6,71.2,0.0,999.9,0,1103
7,2011,07,17,2011-07-17,77.9,9999.9,9999.9,999.9,8.2,15.0,999.9,84.7,73.8,0.0,999.9,0,1042
7,2011,07,17,2011-07-17,84.0,65.5,1017.3,10.0,5.2,12.0,18.1,95.0,73.9,0.0,999.9,0,1042
1,2011,07,18,2011-07-18,86.5,73.1,1015.0,8.7,9.9,15.9,25.1,93.0,81.0,0.0,999.9,0,1051
1,2011,07,18,2011-07-18,85.5,9999.9,9999.9,999.9,14.7,22.9,999.9,89.8,81.0,0.0,999.9,0,1051
2,2011,07,19,2011-07-19,86.2,74.5,1011.4,9.2,7.0,11.1,15.0,91.9,81.0,0.0,999.9,0,1069
2,2011,07,19,2011-07-19,78.0,9999.9,9999.9,999.9,10.3,16.9,999.9,88.3,71.6,0.0,999.9,0,1069
3,2011,07,20,2011-07-20,80.3,9999.9,9999.9,999.9,9.9,20.0,999.9,95.2,72.5,0.0,999.9,0,1019
3,2011,07,20,2011-07-20,87.2,72.0,1009.1,9.3,7.6,18.1,24.1,100.0,77.0,0.0,999.9,0,1019
4,2011,07,21,2011-07-21,87.3,9999.9,9999.9,999.9,12.1,20.0,999.9,93.7,83.5,0.0,999.9,0,1011
4,2011,07,21,2011-07-21,90.8,73.2,1007.4,10.0,9.6,13.0,19.0,100.9,82.0,0.0,999.9,0,1011
5,2011,07,22,2011-07-22,83.4,68.3,1010.7,9.7,7.0,28.0,47.0,93.0,71.1,0.0,999.9,0,1128
5,2011,07,22,2011-07-22,77.3,9999.9,9999.9,999.9,9.8,22.0,999.9,83.3,70.7,0.0,999.9,0,1128
6,2011,07,23,2011-07-23,78.9,70.6,1012.9,9.0,5.4,22.0,29.9,89.1,69.8,0.14,999.9,0,1038
6,2011,07,23,2011-07-23,75.4,9999.9,9999.9,999.9,9.5,27.0,999.9,79.9,69.4,0.0,999.9,0,1038
7,2011,07,24,2011-07-24,79.0,69.7,1014.2,9.6,4.8,17.1,24.1,87.1,72.0,0.04,999.9,1,1001
7,2011,07,24,2011-07-24,76.6,9999.9,9999.9,999.9,7.9,28.9,999.9,80.4,74.1,0.0,999.9,0,1001
1,2011,07,25,2011-07-25,78.4,69.0,1013.2,10.0,5.2,13.0,999.9,86.0,73.0,0.02,999.9,1,1062
1,2011,07,25,2011-07-25,73.7,9999.9,9999.9,999.9,8.1,18.1,999.9,76.6,71.4,0.0,999.9,0,1062
2,2011,07,26,2011-07-26,78.3,63.8,1010.5,10.0,6.0,13.0,999.9,84.9,72.0,0.01,999.9,0,1039
2,2011,07,26,2011-07-26,73.9,9999.9,9999.9,999.9,9.6,15.0,999.9,77.5,71.4,0.0,999.9,0,1039
3,2011,07,27,2011-07-27,73.2,9999.9,9999.9,999.9,13.4,20.0,999.9,85.8,69.4,0.0,999.9,0,1094
3,2011,07,27,2011-07-27,77.6,62.0,1011.1,10.0,8.5,14.0,24.1,91.9,72.0,0.0,999.9,0,1094
4,2011,07,28,2011-07-28,80.5,72.3,1011.0,9.0,7.7,21.0,36.9,89.1,73.9,0.0,999.9,0,1090
4,2011,07,28,2011-07-28,78.0,9999.9,9999.9,999.9,14.8,42.0,999.9,86.2,71.8,0.0,999.9,0,1090
5,2011,07,29,2011-07-29,74.6,9999.9,9999.9,999.9,7.8,29.9,999.9,82.0,71.8,0.0,999.9,0,1066
5,2011,07,29,2011-07-29,79.7,70.6,1013.6,8.8,5.1,15.0,26.0,86.0,75.0,0.0,999.9,0,1066
6,2011,07,30,2011-07-30,75.6,9999.9,9999.9,999.9,3.6,8.9,999.9,78.6,72.9,0.0,999.9,0,1076
6,2011,07,30,2011-07-30,80.0,63.9,1017.1,10.0,2.8,7.0,999.9,91.0,68.0,0.36,999.9,0,1076
7,2011,07,31,2011-07-31,82.2,68.6,1017.5,9.8,4.2,8.9,15.9,91.0,73.0,0.0,999.9,0,1049
7,2011,07,31,2011-07-31,78.3,9999.9,9999.9,999.9,6.1,9.9,999.9,84.4,74.5,0.0,999.9,0,1049
1,2011,08,01,2011-08-01,83.4,71.1,1015.7,9.2,5.5,8.9,999.9,91.0,75.9,0.0,999.9,0,1238
1,2011,08,01,2011-08-01,82.5,9999.9,9999.9,999.9,8.2,12.0,999.9,88.5,78.6,0.0,999.9,0,1238
2,2011,08,02,2011-08-02,85.7,72.5,1009.6,9.1,6.8,14.0,22.0,93.0,80.1,0.0,999.9,0,1022
