"","temp","year"
"1102",41.5,2013
"1107",57.4,2013
"1108",34.8,2013
"1112",44,2013
"1124",45.4,2013
"1145",61,2013
"1155",51.9,2013
"1158",41.4,2013
"1185",45.2,2013
"1194",70.5,2013
"1204",52.4,2013
"1212",55.1,2013
"1219",41.1,2013
"1228",39.2,2013
"1236",48.5,2013
"1251",41.3,2013
"1253",42.9,2013
"1268",37,2013
"1275",37,2013
"1292",60.8,2013
"1296",44.6,2013
"1302",52.4,2013
"1310",49.1,2013
"1318",41.5,2013
"1364",50.9,2013
"1366",62.4,2013
"1376",55.8,2013
"1380",64,2013
"1385",67.7,2013
"1399",63.9,2013
"1408",59.1,2013
"1409",65.9,2013
"1411",61.2,2013
"1441",70.1,2013
"1465",67.2,2013
"1468",49.2,2013
"1494",49,2013
"1503",46.4,2013
"1506",58.9,2013
"1516",57.9,2013
"1517",69.6,2013
"1523",66.9,2013
"1537",72.1,2013
"1549",72.3,2013
"1562",72.6,2013
"1582",78,2013
"1584",48.1,2013
"1586",76.3,2013
"1589",57,2013
"1600",50.9,2013
"1642",44.2,2013
"1650",81.2,2013
"1662",73.6,2013
"1663",53.5,2013
"1703",71,2013
"1717",70.5,2013
"1738",63.4,2013
"1743",61.3,2013
"1754",79,2013
"1756",54.9,2013
"1765",64.6,2013
"1766",68.4,2013
"1768",63.8,2013
"1775",59.4,2013
"1789",72.9,2013
"1803",61.2,2013
"1809",76.1,2013
"1837",74.8,2013
"1844",69.3,2013
"1856",65.6,2013
"1869",76,2013
"1884",67.2,2013
"1890",76.3,2013
"1899",68,2013
"1907",57.4,2013
"1932",75.3,2013
"1952",68.9,2013
"1955",71.1,2013
"1963",76.7,2013
"1965",76.6,2013
"1974",63.9,2013
"1977",75.4,2013
"1993",77.5,2013
"1994",76.8,2013
"2032",69.3,2013
"2036",70,2013
"2037",77.2,2013
"2041",67.7,2013
"2057",72.5,2013
"2075",66.2,2013
"2087",72.6,2013
"2092",75.2,2013
"2107",84.3,2013
"2128",75.9,2013
"2135",78.9,2013
"2144",65.2,2013
"2152",78.2,2013
"2153",80.5,2013
"2162",79.4,2013
"2163",61.3,2013
"2181",86.1,2013
"2188",71.5,2013
"2209",81.5,2013
"2213",67.1,2013
"2228",79,2013
"2230",64.2,2013
"2243",79.2,2013
"2246",87.2,2013
"2267",65.8,2013
"2280",71,2013
"2285",80.5,2013
"2298",81.3,2013
"2304",68.7,2013
"2307",87.7,2013
"2308",75.8,2013
"2399",73.5,2013
"2402",74.9,2013
"2405",65.7,2013
"2406",76.5,2013
