"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","sndp","NUM_CRIMES"
"95",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,48.5,999.9,0.557264957264957
"96",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,53.4,999.9,0.572649572649573
"97",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,41.7,999.9,0.408547008547009
"98",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,44.4,999.9,0.641025641025641
"99",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,44.3,999.9,0.774358974358974
"100",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,49.3,999.9,0.54017094017094
"101",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,43.2,999.9,0.57948717948718
"102",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,43.8,999.9,0.411965811965812
"103",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2011,39.3,999.9,0.388034188034188
"104",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,42,999.9,0.444444444444444
"105",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,40.3,999.9,0.430769230769231
"106",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,48.9,999.9,0.641025641025641
"107",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,53.1,999.9,0.502564102564103
"108",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,54.8,999.9,0.569230769230769
"109",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,38.1,999.9,0.211965811965812
"110",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,70.6,999.9,0.786324786324786
"111",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,62.4,999.9,0.605128205128205
"112",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2011,56.2,999.9,0.502564102564103
"113",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,46.5,999.9,0.463247863247863
"114",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2011,44.7,999.9,0.52991452991453
"115",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2011,45.7,999.9,0.632478632478632
"116",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2011,58.4,999.9,0.553846153846154
"117",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2011,56.2,999.9,0.646153846153846
"118",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2011,77.8,999.9,0.782905982905983
"119",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2011,58.9,999.9,0.695726495726496
"120",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011,54.3,999.9,0.494017094017094
"121",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2011,61.1,999.9,0.791452991452991
"122",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2011,53.2,999.9,0.516239316239316
"123",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2011,44.9,999.9,0.581196581196581
"124",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2011,56.7,999.9,0.504273504273504
"125",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2011,53.3,999.9,0.535042735042735
"126",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2011,63.1,999.9,0.535042735042735
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2011,56.6,999.9,0.552136752136752
"128",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2011,61,999.9,0.393162393162393
"129",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2011,46.3,999.9,0.635897435897436
